||||||||||||||||||||||||||NSE|NSE
||Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
||Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million
||Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|31 Jul 2008|31 Jul 2009
Company Name|NSE symbol|Total income|Sales|Income from financial services|Extra-ordinary income|Total expenses|Cost of goods sold|Borrowings|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Sales|Income from financial services|Extra-ordinary income|Total expenses|Cost of goods sold|Borrowings|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Market Capitalisation|Market Capitalisation
Colgate-Palmolive (India) Ltd.|COLPAL|14523.80|14212.50|187.80|84.70|12967.30|7705.12|42.80|3157.20|7196.90|2052.40|1399.40|16.13|16380.00|15973.00|214.50|8.40|14070.40|8069.30|46.90|3469.30|7164.40|2317.40|2421.20|32.08|55736.66|90720.81
Corporation Bank|CORPBANK|40700.40||38037.70|0.30|35339.00|3581.44|33210.10|29893.10|527430.60|76166.10|52111.20|1.10|53216.00||50255.00||45866.10|3959.85|29376.10|36299.80|666160.80|92004.90|53621.10|0.96|36950.14|49730.65
Crompton Greaves Ltd.|CROMPGREAV|37305.70|37006.70|157.70|55.60|36113.90|27423.17|2700.40|8893.90|20531.90|12405.80|2308.80|11.09|44791.70|44017.70|641.10|7.10|40687.50|30731.38|875.60|10412.00|23986.10|13948.30|4357.50|11.02|86601.36|107990.52
Cummins India Ltd.|CUMMINSIND|21578.20|20684.90|637.70||19394.50|14536.59|84.80|3062.40|13876.30|7471.00|1670.20|5.64|27536.70|26317.20|785.90||24694.50|19091.14|325.20|4984.20|18032.10|8917.90|2443.50|5.78|55657.80|54469.80
D C B Bank Ltd.|DCBBANK|4672.10||4335.90|188.90|4598.40|679.54|3204.00|1907.50|52783.10|5710.10|5243.10|3.16|7391.80||6829.30|102.50|7008.50|952.71|5928.00|2505.40|75972.60|11804.50|3819.00|2.37|8523.21|6098.29
D L F Ltd.|DLF|14307.20|11306.20|2947.40|0.20|10150.90|1263.92|67693.00|30356.40|112050.40|46392.80|-26792.80|NA|60620.60|55300.00|5178.60|0.60|34814.10|19595.23|83864.10|24979.00|234420.90|83929.30|-16158.40|9.77|872021.92|672428.31
Dabur India Ltd.|DABUR|16617.00|16415.70|77.20|44.00|14319.40|9292.67|192.80|2784.90|8040.50|2706.50|2350.60|20.33|21478.40|21281.70|112.70|4.80|18349.60|12200.77|166.90|3178.70|11607.40|3750.50|3219.90|18.12|78192.60|119136.03
Dena Bank|DENABANK|26390.00||23583.30|0.60|24374.40|3217.43|9859.50|10802.00|314506.40|31975.90|4342.70|0.81|33027.40||29369.60|299.60|29429.50|3142.70|13127.90|13087.30|386514.10|44617.80|22670.90|0.93|12677.59|15803.96
Divi'S Laboratories Ltd.|DIVISLAB|7438.60|7404.10|6.40||5391.50|4402.42|1539.50|1239.30|8521.30|3919.40|1859.50|7.32|10745.90|10475.50|18.80||7531.90|5617.88|860.80|1578.30|11974.60|5036.60|3021.20|9.37|90940.63|69523.51
Dr. Reddy'S Laboratories Ltd.|DRREDDY|43752.80|41966.90|847.10|45.60|32216.60|21020.20|3299.00|6334.30|58188.00|30217.10|8884.20|2.80|38007.00|36154.00|1511.00||34193.00|22886.50|4623.00|6809.00|65333.00|20994.00|5435.00|2.07|95795.54|138357.76
Edelweiss Financial Services Ltd.|EDELWEISS|849.40||843.70||578.80|179.36|1809.30|219.00|6719.00|102.10|61.20|NA|1890.80||1890.20||1603.00|313.97|11077.90|415.40|25628.80|1869.60|-876.60|4.59|44529.03|32835.71
Educomp Solutions Ltd.|EDUCOMP|1121.80|1065.70|41.70||851.10|475.20|1246.90|176.70|2773.40|1492.90|180.30|13.22|2843.00|2621.00|219.30||2124.00|1344.60|3672.40|483.40|7473.90|4007.90|675.40|22.99|55629.97|77706.05
Escorts Ltd.|ESCORTS|21556.20|21126.90|220.70|1.30|21473.10|17855.68|5255.80|6021.70|27250.60|8031.40|-417.50|1.48|21227.20|20233.90|451.30|48.00|21414.30|17103.47|4421.50|6502.40|25381.20|8622.20|770.50|0.74|6493.68|6630.86
Essar Oil Ltd.|ESSAROIL|4843.70|4739.80|23.70|31.00|5518.60|4813.03|85714.40|39704.80|156112.70|42383.40|-3904.70|2.12|6688.00|6519.30|87.30|31.20|6107.00|6135.62|100155.90|77152.70|214059.00|67516.70|-1267.20|6.99|226668.56|181430.97
Everest Kanto Cylinder Ltd.|EKC|3764.90|3647.50|11.00|101.80|3566.50|2498.97|265.70|223.30|3931.00|1314.00|-199.60|5.84|3933.10|3816.30|101.50|1.80|3448.70|2357.04|1875.70|715.10|7461.10|2822.80|60.00|6.88|30236.03|18360.12
Federal Bank Ltd.|FEDERALBNK|21199.40||20095.60|676.00|18272.10|2226.83|12402.10|5482.60|251706.50|26302.20|10589.40|1.24|29258.60||27774.20|1021.20|25578.10|2385.83|12619.50|11814.80|326084.80|30864.90|14105.40|0.94|32692.16|41069.39
Financial Technologies (India) Ltd.|FINANTECH|1838.80|1022.90|776.40||832.70|339.41|4344.20|492.00|7113.80|2098.20|122.70|40.61|13550.70|1431.50|12087.10||3938.60|534.59|3994.50|600.80|20026.00|3741.90|-2386.20|4.99|66109.14|64792.28
G A I L (India) Ltd.|GAIL|174698.80|165458.50|4606.40|5.80|151584.70|117584.69|13378.50|25855.90|187728.90|41652.60|14593.60|1.96|191895.80|185808.10|4697.60||166180.00|128430.00|12658.70|33610.20|218702.50|63340.80|34121.50|2.77|317626.74|421071.07
G M R Infrastructure Ltd.|GMRINFRA|341.40||336.30||312.60|4.88|1971.70|16.60|18387.30|3237.90|-72.90|7.27|1125.00|100.00|1011.40||498.00|45.49|4791.80|212.20|61050.50|1122.70|-565.60|4.84|169048.10|261940.79
G O L Offshore Ltd.|GTOFFSHORE|5446.50|5373.30|69.40|0.30|4032.30|2122.05|7465.60|1429.70|15193.10|1944.40|2216.90|3.73|7509.40|6763.10|477.90|234.80|5477.30|2960.88|9301.40|1861.70|20577.90|5012.80|2793.60|3.31|14814.92|17822.08
G T L Ltd.|GTL|7359.90|6915.90|424.70|14.10|7589.40|5427.45|8212.00|5843.30|24805.70|14734.90|1434.50|1.27|15409.70|14333.30|835.90|218.90|14930.70|11170.47|7018.20|8914.10|25879.50|10952.20|2424.80|2.58|18323.73|28416.95
