|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|01 Jul 2014|30 Jun 2015
Company Name|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
Dr. Reddy'S Laboratories Ltd.|86520.00|82445.00||9.00|74867.00|47366.40|1214.00|15608.00|15880.00|137652.00|55801.00|2888.00|3.85|100282.00|96502.00|28.00|0.00|82658.00|50972.50|1530.00|18747.00|26662.00|167676.00|70345.00|9055.00|4.68|2614.95|3559.45
Exide Industries Ltd.|69508.40|61240.50|0.60|4.30|65505.00|53543.55|704.20|8300.50||45642.00|17565.70|3597.20|3.24|67957.90|59686.90|1.80|2.70|64116.60|45213.24|288.70|8882.90|0.00|49750.20|18257.30|6469.50|2.78|149.70|148.30
Federal Bank Ltd.|68735.10||1.90||60353.40|5792.17|68047.90|14409.40|51869.90|713020.70|46890.20|33047.60|1.29|77536.00||12.80||69147.10|7021.78|74747.80|14941.50|56879.60|749704.70|54939.90|37106.90|1.18|65.65|73.90
G A I L (India) Ltd.|490471.00|466315.60||107.30|450819.90|392656.45|6539.40|72979.70|88435.00|512407.30|93428.70|50334.10|1.67|595821.30|568304.80|0.00|68.50|558338.50|491153.36|10027.20|80515.50|101680.80|570129.80|115004.90|49215.70|1.76|460.80|392.20
G M R Infrastructure Ltd.|15419.10|11434.10||0.10|14884.60|9925.38|3859.80|6586.00|37010.00|121588.90|13370.10|-1144.70|1.17|12631.20|4724.20||1312.50|10972.20|4679.27|7806.30|6343.30|48997.10|143329.70|19489.40|1509.40|1.17|33.85|14.00
Glenmark Pharmaceuticals Ltd.|21723.90|19453.80|0.50|0.00|17816.80|11315.32|1147.20|6820.50|2718.00|39153.60|9397.70|2530.10|4.97|25058.50|22960.50||2.20|20772.60|13048.14|661.00|8382.00|0.00|46142.00|14785.00|1142.40|5.28|571.00|994.15
Godrej Industries Ltd.|16749.70|13247.00|0.00|2.50|15507.40|12019.29|2301.30|4619.00|4809.50|31941.60|7484.90|63.60|6.10|17012.40|12960.30|250.00|1.40|16293.80|11581.89|2632.70|6698.00|8288.00|37032.90|4214.70|391.70|7.38|362.26|355.70
Grasim Industries Ltd.|64144.60|52799.20|9.80|0.00|52201.00|37100.49|6324.70|7747.30|11866.80|130774.70|13385.60|8415.30|2.55|65740.40|56645.70|1.50|0.90|56657.60|43026.32|3793.60|7774.90|11749.20|138923.50|18898.20|524.70|2.45|3411.60|3442.45
H C L Technologies Ltd.|128969.40|124629.70|18.30|2.80|92779.80|45486.53|3418.00|37353.90|6261.00|183013.30|71792.70|38817.30|5.28|171568.80|164251.30|483.60|3.90|111077.10|51484.40|6082.60|44021.70|393.40|255894.20|129090.60|58902.40|6.67|748.77|919.75
H D F C Bank Ltd.|420582.00||0.00|10.60|353319.20|37825.99|414039.80|304396.90|322819.20|4003898.50|399782.80|121741.20|4.11|493517.70||33.00||408733.90|39913.85|483829.50|381612.30|379452.70|4916580.90|754246.70|167616.10|4.13|823.30|1067.15
