,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.
,,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Profit after tax,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Closing price on NSE
Oriental Bank Of Commerce,ORIENTBANK,47479.3,,46074.6,2.7,41907.7,4737.85,5571.6,14429.3,21262.1,589373.8,67281.7,-48403.2,1.14,234.7
Polaris Consulting & Services Ltd.,POLARIS,6899.4,6839.4,50.3,0.5,6766.4,4079.16,133,14.9,833.6,6657.5,2895.9,663.5,2.17,117.1
Punj Lloyd Ltd.,PUNJLLOYD,14630.8,14236.2,191.1,54.4,14278.7,10553.92,351.5,4104.7,4030.2,19550.9,11106.1,-860.3,5.37,1084.75
Punjab National Bank,PNB,114717.6,,109584.1,29.2,100324.5,17256.15,14393.1,85998.7,72911.5,1453497.9,278637.4,20456.2,1.63,470.4
Ranbaxy Laboratories Ltd. [Merged],RANBAXY,37437.4,35991.5,273,31,33933.1,20777.51,3951.2,31786,7233.3,71126,21366.2,2710.6,6.22,391.8
Reliance Capital Ltd.,RELCAPITAL,6754.1,21.4,6708.1,12.6,1378,285.41,5376.1,2418.9,174.7,44670.8,8504.2,-11848,2.84,519.1
Reliance Industries Ltd.,RELIANCE,898073.8,891244.6,5875.4,63.2,828692.3,629812.95,90693.4,218656.1,125635,932168.7,164546.6,103015.8,2.45,795.35
Reliance Petroleum Ltd. (2005) [Merged],RPL,,,,,,0,,,55.3,31556.6,12369.2,-26.6,NA,NA
S R F Ltd.,SRF,14450.6,14385.9,16,,13519.1,9573.49,1047.7,6038.4,2150.7,15823.5,3406.2,1769.6,4,331.8
Satyam Computer Services Ltd. [Merged],SATYAMCOMP,50144.8,46343.1,3786,,37747.3,20779.89,12397.5,125.7,4357.1,51845.3,43896.2,7856.1,6.35,848.5
Shipping Corpn. Of India Ltd.,SCI,37972.9,35315.7,1741.3,123.9,27550.9,17818.67,10422,13744,9381.6,68956.8,27297.2,10204.2,1.1,169.6
Siemens Ltd.,SIEMENS,49785.9,47947.1,1575.5,37,47208.9,38466.44,3601.1,20,24275.1,44874,25916.1,7706.4,16.67,1073.55
State Bank Of India,SBIN,435077.3,,420337.3,19.4,391010.6,67405.2,44066.7,356270.5,507117.6,4941606,664703.7,-420607.1,1.84,968.5
Sterlite Industries (India) Ltd. [Merged],STER,80426,79231,1053.4,,77808.2,65351.54,5152,20347.9,9078.7,81332.9,25852,8549.8,4.77,1751
Strides Shasun Ltd.,STAR,4628.8,4554.1,74.7,,4211.2,3328.35,361.8,3322.8,1338.8,9116.7,2478.1,-171.8,4.09,366.7
Sun Pharmaceutical Inds. Ltd.,SUNPHARMA,18803.9,13530.2,4951.9,5.5,14763.3,10946.64,4612.9,17459.8,1661.8,36102.1,17848.1,3010.4,10.91,859.55
Sun T V Network Ltd.,SUNTV,3383.5,3219.1,106.9,21.9,2081.2,1074.97,1302.3,2333.1,571.8,6218.8,2328.5,1320.6,NA,NA
Suzlon Energy Ltd.,SUZLON,38577.4,37884.6,364.1,,31471.5,24713.19,8211.9,3353.7,8583.2,45817.6,30098.9,-4017,13.34,1302.2
Syndicate Bank,SYNDIBANK,46732.2,,44077.7,1.4,41367.3,8044.41,5364.9,20668.4,24155.7,610907.2,64975.2,-19741.3,1.78,89.85
T V S Motor Co. Ltd.,TVSMOTOR,38179.7,37317.5,336,9.6,37561.7,26582.28,1225,3850.4,5244.6,19055.7,4407.4,747.2,4.35,140.45
Tata Chemicals Ltd.,TATACHEM,37660.3,36395.8,837.2,0.7,35004.4,24564.43,3530.3,14544.9,4654,47859.1,12386.2,2463,2.62,263.65
Tata Consultancy Services Ltd.,TCS,113373,112392.8,440,15.6,86245.7,49465.99,27168.7,355,11801.4,74888.3,29482.3,23444.2,16.71,1915.5
Tata Motors Ltd.,TATAMOTORS,243759.5,234394.1,8001.2,61.4,231039.8,166650.97,15288.8,29368.4,57298.6,162263.9,38917.6,-2210.3,6.47,931.85
Tata Power Co. Ltd.,TATAPOWER,49444.7,45600,3025.6,318,43427.8,37751.61,6106.4,27550,7318.1,97134.9,25744.2,2760.2,2.07,582.4
Tata Steel Ltd.,TATASTEEL,174964.8,171329.4,2750.4,410,140950.1,74623.07,35063.8,25161.5,28359.9,192895.4,30349.2,35794.9,3.04,536.5
Titan Company Ltd.,TITAN,15170.8,15099.1,62,,15160.4,10292.02,736.2,2679.3,3331.4,8961.8,5078.6,1202.1,18.36,836.4
Union Bank Of India,UNIONBANK,66833.9,,65212.4,9.1,60082.1,7307.94,6751.8,67444,36972.1,891738.8,78314.7,,1.5,121.6
Vijaya Bank,VIJAYABANK,26844.5,,25479.3,3.1,25575.7,3262.63,1268.8,9858.1,11023.5,315370.7,32003.2,5277.4,1.4,52.35
Wipro Ltd.,WIPRO,104503.5,102641,1456,,84540.5,53892.4,20205,502,17768,96066,34681,19122,12.43,559.7
Wockhardt Ltd.,WOCKPHARMA,12466.9,10787.2,1302.3,,10562.7,6624.78,2135.5,7075,2337.2,21214.1,10288.7,1687.3,4.01,350.1
