,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.
,,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Profit after tax,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Closing price on NSE
S R F Ltd.,SRF,19768.7,19679.9,23.7,,17171.8,11177.69,2890.7,4836.4,2333.5,17701.5,4693.4,3205,1.01,121.25
Satyam Computer Services Ltd. [Merged],SATYAMCOMP,64100.8,62284.7,1793.1,,49868.5,28345.17,14232.3,137.9,5971.7,69621.6,57917.7,10298.3,5.43,470.35
Shipping Corpn. Of India Ltd.,SCI,43109.5,37034.4,2290.2,828.3,32963.7,20883.92,10145.8,12447.1,11117.2,75729.4,32122.9,9425.4,0.96,174.05
Siemens Ltd.,SIEMENS,83803.3,80582.6,2382.9,660.9,80406.4,68699.38,5965.4,15.3,30299.4,58896.4,34987.8,-3116.4,14.33,1351.15
State Bank Of India,SBIN,446888.4,,436324.9,74.7,401475.3,65589.37,45413.1,558728.3,433891,5668061.4,751085.7,-193136.4,1.67,994.45
Sterlite Industries (India) Ltd. [Merged],STER,127041.9,124575.7,1375.8,946.9,122790.1,105188.55,7840.3,28097.5,11094,90428.2,31978.4,-7802.7,5.88,469.2
Strides Shasun Ltd.,STAR,4555.4,4154.5,400.9,,5803.4,3366.1,-1154.2,10627.7,2325.2,15979.8,3795.6,521.8,5.07,283.5
Sun Pharmaceutical Inds. Ltd.,SUNPHARMA,24723.9,17221.3,7001,131.9,18848.7,14861.35,6289.3,10681.5,4863.4,41522.2,21542.7,4477.6,8.35,1056.45
Sun T V Network Ltd.,SUNTV,7264,6769.5,476.6,0.5,4575.8,2393.08,2688.2,1.9,1152,13899.7,7904.5,1329,8.77,1514.4
Suzlon Energy Ltd.,SUZLON,55294.3,53914.3,629.4,18.5,45368.9,35056.34,10611.4,11366.4,11084.7,66399.9,37540.4,7276.9,7.76,1001.5
Syndicate Bank,SYNDIBANK,67501.1,,64392.5,2.7,60340.5,7448.79,7160.6,37782.3,29369.9,892773.6,109934.4,110426.5,1.05,63.9
T V S Motor Co. Ltd.,TVSMOTOR,45514.8,44720.1,316.3,26.9,44474.8,32514.13,662.8,6335.6,5770.2,22691.4,5971.8,1271.4,1.75,59.55
Tata Chemicals Ltd.,TATACHEM,43105,41246.6,1565.5,48.7,38581.2,27699.73,4442.1,10417.7,6424.7,48113.8,12962.4,6770.3,1.87,207.55
Tata Consultancy Services Ltd.,TCS,151612.3,149446.4,1859.6,,114011.6,67459.83,37572.9,507.4,16395,107742.8,40064.2,35512.6,14.98,1233.85
Tata Motors Ltd.,TATAMOTORS,321891,310007.1,9801.2,637.9,306253.2,222936.61,19134.6,40091.4,63683.5,196067.9,41523,22101.3,4.1,728.2
Tata Power Co. Ltd.,TATAPOWER,52833.3,47049,3460.8,,45782.1,40829.58,6968,36333.6,11262.6,115110.1,33410.1,3975.8,1.67,509.3
Tata Steel Ltd.,TATASTEEL,203440.9,197663.8,5092.3,111.9,162044.1,87745.6,42221.5,96453.3,35232,321314.6,106819.1,48960,1.87,449.65
Titan Company Ltd.,TITAN,21909.9,21816.9,87.1,,23430.8,15409.79,941.3,2470.2,5368.7,12102.9,8315.4,1240.9,11.43,842.8
Union Bank Of India,UNIONBANK,86033.5,,83417.4,,77579.6,7439.18,8453.9,79211.6,41730.7,1027796.9,102029.1,37438.6,1.11,104
Vijaya Bank,VIJAYABANK,32446.3,,29980.4,0.8,29132.9,3391.85,3313.4,11486.7,15395.6,423575.7,55744.4,30272.4,1,42.55
Wipro Ltd.,WIPRO,140472,137585,2731,,112851,73677.8,28421,2380,30672,134983,51498,26746,8.76,559.4
Wockhardt Ltd.,WOCKPHARMA,13190.8,11463,1618.6,,11561.3,7486.11,2138.8,8088.1,2574.8,23222.4,8278.3,1292.6,4.46,418.1
